"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"WR","Curtis Samuel",3600,"CAR@SF 04:25PM ET",0,"CAR"
"RB","De'Angelo Henderson",3600,"LAC@DEN 10:20PM ET",0,"DEN"
"DST","Broncos ",3600,"LAC@DEN 10:20PM ET",9.688,"DEN"
"WR","Anquan Boldin",3500,"NYJ@BUF 01:00PM ET",10.459,"BUF"
"WR","Charone Peake",3500,"NYJ@BUF 01:00PM ET",2.907,"NYJ"
"RB","Elijah McGuire",3500,"NYJ@BUF 01:00PM ET",0,"NYJ"
"WR","Zay Jones",3500,"NYJ@BUF 01:00PM ET",0,"BUF"
"WR","Markus Wheaton",3500,"ATL@CHI 01:00PM ET",4.275,"CHI"
"WR","Breshad Perriman",3500,"BAL@CIN 01:00PM ET",6.319,"BAL"
"WR","Allen Hurns",3500,"JAX@HOU 01:00PM ET",9.155,"JAX"
"WR","Jaelen Strong",3500,"JAX@HOU 01:00PM ET",3.388,"HOU"
"TE","Zach Ertz",3500,"PHI@WAS 01:00PM ET",13.543,"PHI"
"WR","Josh Doctson",3500,"PHI@WAS 01:00PM ET",4.300,"WAS"
"RB","Donnel Pumphrey",3500,"PHI@WAS 01:00PM ET",0,"PHI"
"WR","Kamar Aiken",3500,"IND@LAR 04:05PM ET",4.238,"IND"
"RB","Devante Mays",3500,"SEA@GB 04:25PM ET",0,"GB"
"DST","Panthers ",3500,"CAR@SF 04:25PM ET",8.000,"CAR"
"RB","Wayne Gallman",3500,"NYG@DAL 08:30PM ET",0,"NYG"
"WR","Laquon Treadwell",3500,"NO@MIN 07:10PM ET",0.250,"MIN"
"RB","Alvin Kamara",3500,"NO@MIN 07:10PM ET",0,"NO"
"RB","Devontae Booker",3500,"LAC@DEN 10:20PM ET",9.106,"DEN"
"WR","Dontrelle Inman",3500,"LAC@DEN 10:20PM ET",10.563,"LAC"
"DST","Patriots ",3400,"KC@NE 08:30PM ET",8.333,"NE"
"WR","Jermaine Kearse",3400,"NYJ@BUF 01:00PM ET",5.733,"NYJ"
"RB","Andre Ellington",3400,"ARI@DET 01:00PM ET",1.881,"ARI"
"DST","Buccaneers ",3400,"TB@MIA 01:00PM ET",8.313,"TB"
"WR","Ryan Grant",3400,"PHI@WAS 01:00PM ET",1.038,"WAS"
"RB","Marlon Mack",3400,"IND@LAR 04:05PM ET",0,"IND"
"WR","Travis Benjamin",3400,"LAC@DEN 10:20PM ET",10.100,"LAC"
"TE","Hunter Henry",3400,"LAC@DEN 10:20PM ET",8.175,"LAC"
"WR","Chris Conley",3300,"KC@NE 08:30PM ET",5.935,"KC"
